"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",201020,2020-10-20,090741,CME ,00,090 ,  134461,    6062,   34732,    3240,   56529,   19905,    3758,   12841,   45263,    7926,   11335,      12,      40,  101730,  114874,   32731,   19587,    2372,    1187,   -2392,     374,     195,    1361,    -155,     556,    3492,    1455,   -1015,      -0,       7,    2602,    4140,    -230,   -1768,  100.0,    4.5,   25.8,    2.4,   42.0,   14.8,    2.8,    9.5,   33.7,    5.9,    8.4,    0.0,    0.0,   75.7,   85.4,   24.3,   14.6,    105,      6,      8,      6,     23,     12,     12,     13,     31,     16,     11,.,.,     72,     69,    26.0,    31.3,    34.8,    42.1,    25.0,    31.1,    32.4,    41.7,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",201013,2020-10-13,090741,CME ,00,090 ,  132089,    4876,   37124,    2866,   56334,   18544,    3913,   12285,   41771,    6471,   12349,      12,      33,   99128,  110734,   32961,   21355,    7814,    1725,    6776,     284,    3425,    2188,   -1687,     282,     784,     -25,     301,      -7,      27,    4332,    8339,    3482,    -525,  100.0,    3.7,   28.1,    2.2,   42.6,   14.0,    3.0,    9.3,   31.6,    4.9,    9.3,    0.0,    0.0,   75.0,   83.8,   25.0,   16.2,     97,      6,      8,      6,     23,     11,     11,     10,     26,     11,     12,.,.,     64,     63,    25.8,    32.4,    35.6,    44.1,    24.9,    32.2,    33.3,    43.9,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",201006,2020-10-06,090741,CME ,00,090 ,  124275,    3150,   30348,    2582,   52910,   16356,    5600,   12004,   40988,    6496,   12048,      19,       6,   94796,  102395,   29479,   21880,     -61,     680,     443,     265,    2181,   -3340,     551,    -627,    2020,   -1315,    1210,     -12,       1,    2945,   -1386,   -3006,    1325,  100.0,    2.5,   24.4,    2.1,   42.6,   13.2,    4.5,    9.7,   33.0,    5.2,    9.7,    0.0,    0.0,   76.3,   82.4,   23.7,   17.6,     97,      4,      9,      7,     23,     11,     13,     14,     24,     13,     11,.,.,     66,     66,    28.3,    29.4,    37.4,    41.6,    27.2,    29.1,    34.9,    41.3,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",200929,2020-09-29,090741,CME ,00,090 ,  124336,    2470,   29905,    2317,   50729,   19696,    5049,   12631,   38967,    7811,   10839,      31,       5,   91850,  103781,   32486,   20555,   -4074,    -789,   -4532,    -289,   -2564,     350,     322,   -1479,   -1989,     -94,     410,    -507,      -2,   -4484,   -6741,     410,    2667,  100.0,    2.0,   24.1,    1.9,   40.8,   15.8,    4.1,   10.2,   31.3,    6.3,    8.7,    0.0,    0.0,   73.9,   83.5,   26.1,   16.5,     98,.,     10,      6,     23,     13,     11,     14,     23,     11,     11,.,.,     64,     64,    26.5,    28.9,    36.0,    39.8,    25.0,    28.2,    33.0,    39.1,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",200922,2020-09-22,090741,CME ,00,090 ,  128410,    3259,   34436,    2606,   53293,   19345,    4727,   14109,   40956,    7905,   10429,     538,       8,   96334,  110522,   32076,   17888,  -29083,     416,  -17355,   -9094,    2908,   -1817,     286,   -5140,     -97,    -849,    -852,      18,       7,  -12318,  -28899,  -16765,    -184,  100.0,    2.5,   26.8,    2.0,   41.5,   15.1,    3.7,   11.0,   31.9,    6.2,    8.1,    0.4,    0.0,   75.0,   86.1,   25.0,   13.9,    102,      4,     10,      7,     24,     12,     13,     15,     23,     12,     11,.,.,     66,     70,    25.6,    34.2,    36.3,    45.9,    24.2,    33.7,    32.9,    45.5,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",200915,2020-09-15,090741,CME ,00,090 ,  157493,    2843,   51791,   11700,   50385,   21162,    4441,   19249,   41053,    8754,   11280,     520,       0,  108652,  139421,   48841,   18072,    7938,  -10556,    7491,    7571,   -1319,   -1956,     112,     335,     133,   -2908,    -204,    -615,     -10,   -6979,    9819,   14917,   -1881,  100.0,    1.8,   32.9,    7.4,   32.0,   13.4,    2.8,   12.2,   26.1,    5.6,    7.2,    0.3,    0.0,   69.0,   88.5,   31.0,   11.5,    102,      4,      9,      8,     23,     12,     11,     19,     21,     13,     11,.,.,     71,     64,    20.8,    41.7,    31.3,    53.6,    18.8,    38.6,    26.2,    50.0,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",200908,2020-09-08,090741,CME ,00,090 ,  149555,   13399,   44300,    4129,   51703,   23118,    4329,   18914,   40920,   11662,   11484,    1135,      10,  115631,  129602,   33924,   19953,   -8936,   -4693,    4846,   -1824,    5043,    -465,   -1773,     149,   -7782,   -1155,    -463,     -92,    -251,   -4967,   -8497,   -3969,    -439,  100.0,    9.0,   29.6,    2.8,   34.6,   15.5,    2.9,   12.6,   27.4,    7.8,    7.7,    0.8,    0.0,   77.3,   86.7,   22.7,   13.3,    107,.,      9,      8,     24,     12,     12,     19,     24,     14,     12,      4,.,     74,     70,    27.0,    37.8,    37.5,    49.5,    25.4,    37.6,    34.5,    48.9,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",200901,2020-09-01,090741,CME ,00,090 ,  158491,   18092,   39454,    5953,   46660,   23583,    6102,   18766,   48702,   12817,   11947,    1227,     261,  120599,  138099,   37892,   20392,   12890,     132,    6404,    2163,    1603,    -455,     758,    2720,    3955,     251,     316,     379,     242,    8183,   13696,    4707,    -806,  100.0,   11.4,   24.9,    3.8,   29.4,   14.9,    3.9,   11.8,   30.7,    8.1,    7.5,    0.8,    0.2,   76.1,   87.1,   23.9,   12.9,    106,      5,      8,      8,     20,     13,     11,     18,     26,     12,     12,      4,      4,     70,     71,    25.5,    33.3,    34.5,    45.3,    23.9,    32.0,    31.1,    44.0,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",200825,2020-08-25,090741,CME ,00,090 ,  145601,   17961,   33051,    3790,   45057,   24038,    5344,   16046,   44747,   12567,   11632,     848,      19,  112416,  124404,   33185,   21197,  -12531,  -14226,   -7589,    -151,    1616,   -1780,     391,    1581,   -2382,     375,    -292,    -146,      -8,  -10714,  -11290,   -1817,   -1241,  100.0,   12.3,   22.7,    2.6,   30.9,   16.5,    3.7,   11.0,   30.7,    8.6,    8.0,    0.6,    0.0,   77.2,   85.4,   22.8,   14.6,    103,      6,      8,      9,     17,     14,     11,     17,     26,     13,     12,.,      4,     70,     70,    27.8,    30.2,    36.3,    41.9,    25.8,    30.0,    33.4,    41.7,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",200818,2020-08-18,090741,CME ,00,090 ,  158132,   32186,   40640,    3941,   43441,   25818,    4953,   14465,   47129,   12191,   11924,     994,      27,  123130,  135694,   35002,   22438,    7410,    1657,   -4344,     271,    2127,    5647,     669,    1410,    3929,     911,    -188,     127,      -5,    6852,    7205,     558,     205,  100.0,   20.4,   25.7,    2.5,   27.5,   16.3,    3.1,    9.1,   29.8,    7.7,    7.5,    0.6,    0.0,   77.9,   85.8,   22.1,   14.2,     99,      6,      8,      9,     17,     14,      8,     15,     25,     11,     12,.,      4,     66,     65,    35.1,    33.0,    42.6,    45.1,    33.4,    32.7,    39.5,    44.8,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",200811,2020-08-11,090741,CME ,00,090 ,  150722,   30530,   44984,    3670,   41315,   20171,    4284,   13056,   43200,   11280,   12111,     868,      32,  116278,  128489,   34444,   22233,   -2973,     173,     102,    -976,    2517,    2598,   -1732,    -556,    1343,   -2168,    -497,    -142,      10,   -3229,    -965,     256,   -2008,  100.0,   20.3,   29.8,    2.4,   27.4,   13.4,    2.8,    8.7,   28.7,    7.5,    8.0,    0.6,    0.0,   77.1,   85.2,   22.9,   14.8,     97,      5,      9,      8,     17,     14,     11,     13,     25,     12,     12,.,      4,     65,     67,    37.2,    37.0,    44.5,    50.0,    35.4,    36.7,    41.1,    49.6,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",200804,2020-08-04,090741,CME ,00,090 ,  153695,   30357,   44882,    4647,   38797,   17574,    6016,   13612,   41856,   13448,   12608,    1009,      22,  119507,  129454,   34188,   24241,   -2808,    2900,    1126,    -390,    -849,    1021,      -3,   -4802,   -3240,   -1008,    -755,    -476,    -225,   -5132,   -3194,    2324,     386,  100.0,   19.8,   29.2,    3.0,   25.2,   11.4,    3.9,    8.9,   27.2,    8.7,    8.2,    0.7,    0.0,   77.8,   84.2,   22.2,   15.8,     93,      5,      9,      8,     15,     13,     13,     14,     24,     13,     11,.,      4,     62,     69,    36.1,    36.6,    44.3,    49.0,    34.3,    36.1,    40.6,    48.0,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",200728,2020-07-28,090741,CME ,00,090 ,  156503,   27456,   43756,    5037,   39646,   16552,    6019,   18414,   45096,   14456,   13363,    1485,     246,  124638,  132647,   31865,   23856,   -1546,   -2277,     480,    1356,     -12,    -573,      29,   -3775,   -5321,    1975,     391,     803,    -102,   -2416,   -1353,     870,    -193,  100.0,   17.5,   28.0,    3.2,   25.3,   10.6,    3.8,   11.8,   28.8,    9.2,    8.5,    0.9,    0.2,   79.6,   84.8,   20.4,   15.2,    101,      5,     10,      7,     16,     14,     13,     17,     25,     15,     11,.,.,     68,     71,    30.7,    34.9,    40.7,    47.8,    29.7,    34.9,    37.3,    46.6,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",200721,2020-07-21,090741,CME ,00,090 ,  158049,   29734,   43276,    3681,   39658,   17125,    5991,   22189,   50417,   12481,   12973,     682,     348,  127054,  134000,   30995,   24049,   -1275,   11284,   19790,  -25947,    -807,   -3838,    1164,    5922,    7621,    1956,     777,      39,      -3,   -5653,     781,    4378,   -2056,  100.0,   18.8,   27.4,    2.3,   25.1,   10.8,    3.8,   14.0,   31.9,    7.9,    8.2,    0.4,    0.2,   80.4,   84.8,   19.6,   15.2,    109,      6,      9,      8,     16,     16,     15,     21,     28,     15,     11,.,.,     75,     74,    31.0,    34.8,    39.9,    46.2,    30.1,    34.7,    37.8,    46.1,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",200714,2020-07-14,090741,CME ,00,090 ,  159324,   18449,   23486,   29628,   40465,   20964,    4826,   16267,   42796,   10525,   12195,     643,     352,  132708,  133219,   26616,   26105,   27052,    1909,    1452,   27238,    -466,    -531,     736,   -3417,   -1500,     487,    -224,    -106,      28,   26292,   27804,     760,    -752,  100.0,   11.6,   14.7,   18.6,   25.4,   13.2,    3.0,   10.2,   26.9,    6.6,    7.7,    0.4,    0.2,   83.3,   83.6,   16.7,   16.4,     98,      6,      8,      9,     15,     17,     12,     16,     24,     14,     10,.,.,     62,     73,    38.1,    36.0,    49.9,    49.0,    23.7,    22.3,    32.1,    33.1,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",200707,2020-07-07,090741,CME ,00,090 ,  132272,   16540,   22034,    2390,   40931,   21495,    4090,   19684,   44296,   10038,   12419,     749,     324,  106416,  105416,   25856,   26856,   -1519,    2577,    -186,    -666,   -1608,    1527,   -1821,    2819,     -97,   -1985,      95,     -26,     -14,    -603,   -3269,    -916,    1750,  100.0,   12.5,   16.7,    1.8,   30.9,   16.3,    3.1,   14.9,   33.5,    7.6,    9.4,    0.6,    0.2,   80.5,   79.7,   19.5,   20.3,     96,      6,      8,      8,     15,     15,     10,     15,     25,     14,     10,.,.,     61,     70,    28.4,    26.0,    42.8,    40.1,    28.2,    25.7,    40.0,    39.7,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",200630,2020-06-30,090741,CME ,00,090 ,  133791,   13963,   22220,    3056,   42539,   19967,    5912,   16864,   44393,   12022,   12324,     775,     338,  107018,  108684,   26773,   25107,   12929,    2199,    6989,     216,    4508,    1859,     927,    6969,    3613,    -742,    -261,     -58,      23,   13840,   12827,    -911,     102,  100.0,   10.4,   16.6,    2.3,   31.8,   14.9,    4.4,   12.6,   33.2,    9.0,    9.2,    0.6,    0.3,   80.0,   81.2,   20.0,   18.8,     92,      5,      7,      7,     15,     14,     12,     10,     28,     11,     10,.,.,     56,     69,    29.2,    26.8,    43.7,    40.4,    29.1,    26.5,    40.9,    39.8,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
