"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_MM_DD_YYYY","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE" ,101019 ,2010-10-19,090741 ,CME ,00 ,090 ,  126630,    4225,   68052,    5677,    9953,    9118,     168,   45077,   11180,    6075,    9249,    7511,     939,   81364,  108720,   45266,   17909,   -9325,   -1661,   -5799,    1916,    -679,    -301,     -60,  -12554,   -3304,     437,    1358,   -2530,      72,  -11171,   -9570,    1846,     245,  100.0,    3.3,   53.7,    4.5,    7.9,    7.2,    0.1,   35.6,    8.8,    4.8,    7.3,    5.9,    0.7,   64.3,   85.9,   35.7,   14.1,     88,      5,     16,     10,      .,      .,      .,     32,     14,     19,     12,      4,      5,     72,     52,    20.4,    36.7,    29.2,    56.0,    19.9,    36.3,    27.8,    55.4,"(CONTRACTS OF CAD 100,000)" ,"090741" ,"CME" ,"090" ,"F10" ,"Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE" ,101012 ,2010-10-12,090741 ,CME ,00 ,090 ,  135955,    5886,   73851,    3762,   10632,    9419,     228,   57630,   14484,    5638,    7891,   10041,     867,   92535,  118290,   43420,   17664,   -2221,    2151,    3420,    -973,     579,    -394,     -78,    -742,   -1334,   -3590,     454,     964,    -657,   -2857,   -2642,     636,     422,  100.0,    4.3,   54.3,    2.8,    7.8,    6.9,    0.2,   42.4,   10.7,    4.1,    5.8,    7.4,    0.6,   68.1,   87.0,   31.9,   13.0,     92,      6,     14,     10,      .,      .,      .,     38,     13,     17,     13,      .,      5,     77,     50,    24.3,    36.5,    34.2,    58.2,    24.1,    35.9,    33.8,    57.4,"(CONTRACTS OF CAD 100,000)" ,"090741" ,"CME" ,"090" ,"F10" ,"Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE" ,101005 ,2010-10-05,090741 ,CME ,00 ,090 ,  138175,    3735,   70431,    4735,   10053,    9813,     306,   58373,   15818,    9229,    7437,    9077,    1524,   95391,  120933,   42784,   17242,   22939,    1507,   10556,     188,     904,     341,      18,   16851,    5411,    2073,    1061,    2089,     374,   22975,   21050,     -36,    1889,  100.0,    2.7,   51.0,    3.4,    7.3,    7.1,    0.2,   42.2,   11.4,    6.7,    5.4,    6.6,    1.1,   69.0,   87.5,   31.0,   12.5,     99,      .,     15,     10,      .,      4,      .,     41,     19,     23,     12,      .,      5,     80,     60,    24.6,    34.4,    33.8,    54.6,    24.6,    33.3,    33.2,    53.3,"(CONTRACTS OF CAD 100,000)" ,"090741" ,"CME" ,"090" ,"F10" ,"Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE" ,100928 ,2010-09-28,090741 ,CME ,00 ,090 ,  115236,    2229,   59876,    4547,    9149,    9472,     288,   41522,   10407,    7156,    6376,    6987,    1150,   72416,   99883,   42820,   15353,    -465,     397,    6252,     350,     -39,    -192,      30,   -4599,   -6153,    -147,      32,     436,     208,   -3767,     784,    3303,   -1249,  100.0,    1.9,   52.0,    3.9,    7.9,    8.2,    0.2,   36.0,    9.0,    6.2,    5.5,    6.1,    1.0,   62.8,   86.7,   37.2,   13.3,     84,      4,     13,     10,      .,      .,      .,     33,     14,     22,     11,      4,      4,     69,     54,    26.4,    38.5,    33.0,    58.2,    26.3,    37.6,    32.1,    57.2,"(CONTRACTS OF CAD 100,000)" ,"090741" ,"CME" ,"090" ,"F10" ,"Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE" ,100921 ,2010-09-21,090741 ,CME ,00 ,090 ,  115701,    1832,   53624,    4196,    9188,    9664,     258,   46121,   16560,    7303,    6344,    6551,     942,   76184,   99099,   39517,   16602,   -9372,  -13477,    2607,  -13615,     744,     427,     -66,   16732,    1908,   -1374,     694,    4314,    -441,  -10803,   -6240,    1431,   -3131,  100.0,    1.6,   46.3,    3.6,    7.9,    8.4,    0.2,   39.9,   14.3,    6.3,    5.5,    5.7,    0.8,   65.8,   85.7,   34.2,   14.3,     85,      .,     15,      8,      .,      .,      .,     29,     18,     19,     12,      4,      4,     63,     55,    27.1,    34.4,    35.5,    50.0,    27.1,    33.3,    35.1,    48.8,"(CONTRACTS OF CAD 100,000)" ,"090741" ,"CME" ,"090" ,"F10" ,"Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE" ,100914 ,2010-09-14,090741 ,CME ,00 ,090 ,  125073,   15309,   51017,   17812,    8444,    9237,     324,   29389,   14652,    8676,    5649,    2237,    1384,   86987,  105339,   38086,   19734,    6573,   -5925,    7254,   10260,   -1487,    -639,      -6,    2430,  -15320,    3116,   -2316,    1042,     362,    6433,    6068,     140,     505,  100.0,   12.2,   40.8,   14.2,    6.8,    7.4,    0.3,   23.5,   11.7,    6.9,    4.5,    1.8,    1.1,   69.5,   84.2,   30.5,   15.8,     81,      7,     14,     12,      .,      .,      .,     25,     16,     21,      9,      5,      4,     66,     54,    27.3,    38.0,    38.9,    52.3,    23.6,    35.6,    31.9,    46.3,"(CONTRACTS OF CAD 100,000)" ,"090741" ,"CME" ,"090" ,"F10" ,"Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE" ,100907 ,2010-09-07,090741 ,CME ,00 ,090 ,  118500,   21235,   43763,    7552,    9931,    9876,     330,   26959,   29973,    5561,    7965,    1195,    1022,   80554,   99271,   37946,   19229,   -8604,    -284,    -584,     477,   -1906,      62,     -43,   -1209,   -3859,   -1905,     775,     370,    -188,   -4282,   -5670,   -4322,   -2935,  100.0,   17.9,   36.9,    6.4,    8.4,    8.3,    0.3,   22.8,   25.3,    4.7,    6.7,    1.0,    0.9,   68.0,   83.8,   32.0,   16.2,     77,      6,     10,      9,      .,      .,      .,     26,     15,     16,     12,      .,      4,     62,     46,    25.4,    41.2,    36.0,    57.6,    23.8,    41.1,    32.8,    55.5,"(CONTRACTS OF CAD 100,000)" ,"090741" ,"CME" ,"090" ,"F10" ,"Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE" ,100831 ,2010-08-31,090741 ,CME ,00 ,090 ,  127104,   21518,   44347,    7075,   11837,    9814,     373,   28168,   33832,    7466,    7190,     825,    1209,   84836,  104941,   42268,   22164,   16135,   11187,  -10232,    2587,     136,     353,     -65,   -1029,   20521,     387,      70,     808,      68,   13341,   14427,    2795,    1709,  100.0,   16.9,   34.9,    5.6,    9.3,    7.7,    0.3,   22.2,   26.6,    5.9,    5.7,    0.6,    1.0,   66.7,   82.6,   33.3,   17.4,     78,      7,      8,      9,      .,      .,      .,     26,     18,     17,     11,      .,      4,     63,     48,    22.2,    40.8,    32.8,    55.4,    22.2,    40.6,    32.0,    53.6,"(CONTRACTS OF CAD 100,000)" ,"090741" ,"CME" ,"090" ,"F10" ,"Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE" ,100824 ,2010-08-24,090741 ,CME ,00 ,090 ,  110969,   10331,   54579,    4488,   11701,    9461,     438,   29197,   13311,    7079,    7121,      17,    1141,   71496,   90514,   39473,   20455,    3756,    5531,   -6572,    -169,    1476,     169,     104,   -5645,    8693,    1560,    1316,   -2201,     378,    4553,    1963,    -797,    1793,  100.0,    9.3,   49.2,    4.0,   10.5,    8.5,    0.4,   26.3,   12.0,    6.4,    6.4,    0.0,    1.0,   64.4,   81.6,   35.6,   18.4,     68,      6,      9,      7,      .,      .,      .,     24,     12,     14,     10,      .,      4,     58,     37,    17.8,    41.2,    28.6,    58.9,    17.8,    40.9,    28.6,    56.2,"(CONTRACTS OF CAD 100,000)" ,"090741" ,"CME" ,"090" ,"F10" ,"Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE" ,100817 ,2010-08-17,090741 ,CME ,00 ,090 ,  107213,    4800,   61151,    4657,   10225,    9292,     334,   34842,    4618,    5519,    5804,    2218,     763,   66943,   88551,   40270,   18663,  -10195,    2229,   -9514,     527,     582,     605,     -26,   -9307,   -4100,     580,     546,      12,     -63,   -4933,  -11979,   -5262,    1785,  100.0,    4.5,   57.0,    4.3,    9.5,    8.7,    0.3,   32.5,    4.3,    5.1,    5.4,    2.1,    0.7,   62.4,   82.6,   37.6,   17.4,     67,      .,     11,      8,      .,      .,      .,     30,      8,     14,      8,      .,      .,     58,     36,    18.2,    46.7,    28.1,    63.7,    18.2,    46.0,    27.8,    61.8,"(CONTRACTS OF CAD 100,000)" ,"090741" ,"CME" ,"090" ,"F10" ,"Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE" ,100810 ,2010-08-10,090741 ,CME ,00 ,090 ,  117408,    2571,   70664,    4130,    9643,    8687,     360,   44149,    8718,    4938,    5258,    2206,     826,   71876,  100530,   45532,   16878,    2152,    -453,   11807,   -3278,    1351,     933,       0,    4832,   -4244,   -2448,      54,    1293,    -243,    -183,    3821,    2335,   -1668,  100.0,    2.2,   60.2,    3.5,    8.2,    7.4,    0.3,   37.6,    7.4,    4.2,    4.5,    1.9,    0.7,   61.2,   85.6,   38.8,   14.4,     71,      .,     13,      7,      .,      .,      .,     32,      9,     14,      8,      .,      .,     57,     40,    19.1,    46.7,    27.9,    62.1,    19.1,    45.7,    27.7,    61.0,"(CONTRACTS OF CAD 100,000)" ,"090741" ,"CME" ,"090" ,"F10" ,"Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE" ,100803 ,2010-08-03,090741 ,CME ,00 ,090 ,  115256,    3024,   58858,    7408,    8292,    7754,     360,   39317,   12961,    7386,    5204,     913,    1069,   72059,   96709,   43197,   18546,   15939,    -902,    6655,    1780,    -624,    -470,     134,   12479,    6453,     604,    -844,     907,    -134,   12492,   15928,    3447,      11,  100.0,    2.6,   51.1,    6.4,    7.2,    6.7,    0.3,   34.1,   11.2,    6.4,    4.5,    0.8,    0.9,   62.5,   83.9,   37.5,   16.1,     75,      .,     13,      8,      .,      .,      .,     29,     16,     16,      7,      .,      .,     60,     44,    18.2,    44.0,    27.9,    59.5,    18.2,    42.3,    27.0,    57.8,"(CONTRACTS OF CAD 100,000)" ,"090741" ,"CME" ,"090" ,"F10" ,"Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE" ,100727 ,2010-07-27,090741 ,CME ,00 ,090 ,   99317,    3926,   52203,    5628,    8916,    8224,     226,   26838,    6509,    6783,    6048,       6,    1203,   59567,   80781,   39750,   18536,    1939,   -1061,    5751,     476,     284,      28,      -2,    5737,   -5883,     486,   -2663,       4,     301,    3558,    1162,   -1619,     776,  100.0,    4.0,   52.6,    5.7,    9.0,    8.3,    0.2,   27.0,    6.6,    6.8,    6.1,    0.0,    1.2,   60.0,   81.3,   40.0,   18.7,     69,      4,     11,      8,      .,      4,      .,     23,     14,     16,      9,      .,      4,     57,     42,    16.5,    46.4,    26.4,    62.6,    16.5,    45.1,    25.8,    59.5,"(CONTRACTS OF CAD 100,000)" ,"090741" ,"CME" ,"090" ,"F10" ,"Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE" ,100720 ,2010-07-20,090741 ,CME ,00 ,090 ,   97378,    4988,   46452,    5152,    8632,    8196,     228,   21101,   12391,    6297,    8711,       2,     902,   56009,   79619,   41369,   17759,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,  100.0,    5.1,   47.7,    5.3,    8.9,    8.4,    0.2,   21.7,   12.7,    6.5,    8.9,    0.0,    0.9,   57.5,   81.8,   42.5,   18.2,     67,      4,     10,      8,      .,      4,      .,     21,     15,     15,      9,      .,      4,     53,     43,    17.7,    41.4,    27.0,    58.9,    17.7,    40.5,    26.4,    56.8,"(CONTRACTS OF CAD 100,000)" ,"090741" ,"CME" ,"090" ,"F10" ,"Combined"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE" ,101228 ,2010-12-28,092741 ,CME ,00 ,092 ,   49371,    3219,   24803,    1084,    1493,    1377,     373,   21406,    9169,    1254,     400,    2000,       0,   29228,   40060,   20143,    9311,    1868,     -15,    5615,      89,       0,     -19,      19,   -1233,   -5113,     304,       0,    2000,       0,    -835,    2895,    2703,   -1027,  100.0,    6.5,   50.2,    2.2,    3.0,    2.8,    0.8,   43.4,   18.6,    2.5,    0.8,    4.1,    0.0,   59.2,   81.1,   40.8,   18.9,     48,      .,     13,      .,      .,      .,      .,     17,      8,      5,      .,      .,      0,     28,     30,    24.5,    37.3,    37.0,    52.7,    24.5,    36.7,    37.0,    52.0,"(CONTRACTS OF CHF 125,000)" ,"092741" ,"CME" ,"092" ,"F10" ,"Combined"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE" ,101221 ,2010-12-21,092741 ,CME ,00 ,092 ,   47503,    3233,   19188,     995,    1493,    1396,     354,   22638,   14282,     950,     400,       0,       0,   30063,   37165,   17440,   10338,    5267,     882,    2644,      35,    -284,     527,      24,    3454,    2817,     201,     400,       0,       0,    4712,    6248,     555,    -981,  100.0,    6.8,   40.4,    2.1,    3.1,    2.9,    0.7,   47.7,   30.1,    2.0,    0.8,    0.0,    0.0,   63.3,   78.2,   36.7,   21.8,     49,      4,     12,      4,      .,      .,      .,     20,      7,      6,      .,      0,      0,     32,     29,    23.5,    43.0,    36.9,    54.8,    23.5,    42.4,    36.9,    54.2,"(CONTRACTS OF CHF 125,000)" ,"092741" ,"CME" ,"092" ,"F10" ,"Combined"
