"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250715,2025-07-15,090741,CME ,00,090 ,  211652,   93989,   26043,    1191,   36825,   86764,   13108,   18377,   44770,    9550,    9088,    2978,      18,  182145,  184420,   29507,   27232,    -241,    3917,   -2882,    -189,   -2171,    5498,    -279,     733,   -1860,    -780,    -765,    -436,      -0,     466,    -928,    -707,     687,  100.0,   44.4,   12.3,    0.6,   17.4,   41.0,    6.2,    8.7,   21.2,    4.5,    4.3,    1.4,    0.0,   86.1,   87.1,   13.9,   12.9,    108,      6,     10,      8,     21,     21,      8,     19,     16,     12,     11,      4,.,     71,     67,    48.0,    31.7,    56.0,    47.3,    46.7,    28.3,    52.8,    43.8,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250708,2025-07-08,090741,CME ,00,090 ,  211893,   90072,   28925,    1380,   38996,   81266,   13387,   17645,   46630,   10329,    9853,    3414,      18,  181679,  185348,   30214,   26545,  -10361,    3737,   -4995,   -3789,   -2548,    3336,   -1589,    -864,    1054,   -5105,   -1589,     -97,     -13,  -11760,  -11198,    1399,     837,  100.0,   42.5,   13.7,    0.7,   18.4,   38.4,    6.3,    8.3,   22.0,    4.9,    4.6,    1.6,    0.0,   85.7,   87.5,   14.3,   12.5,    109,      6,     10,      7,     20,     21,     10,     17,     18,     11,     12,      5,.,     71,     68,    46.3,    29.8,    54.4,    47.4,    45.0,    27.6,    51.1,    44.0,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250701,2025-07-01,090741,CME ,00,090 ,  222254,   86335,   33920,    5170,   41544,   77930,   14975,   18508,   45576,   15434,   11442,    3511,      31,  193439,  196547,   28815,   25707,    3630,    6113,   -3246,     107,   -4807,    5494,     977,     889,   -1121,    1255,    -647,      79,     -11,    3874,    3534,    -244,      96,  100.0,   38.8,   15.3,    2.3,   18.7,   35.1,    6.7,    8.3,   20.5,    6.9,    5.1,    1.6,    0.0,   87.0,   88.4,   13.0,   11.6,    111,      5,     11,      7,     19,     21,     12,     19,     18,     11,     13,      5,.,     73,     70,    45.4,    26.2,    53.6,    45.3,    42.6,    26.2,    48.8,    43.3,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250624,2025-06-24,090741,CME ,00,090 ,  218624,   80222,   37165,    5063,   46351,   72436,   13999,   17620,   46697,   14180,   12090,    3432,      42,  189565,  193012,   29059,   25612,  -95943,  -79780,  -64703,   -9730,    -611,   -7354,     240,   -5262,   -9520,      12,    1210,   -4429,   -1367,  -95288,  -96852,    -655,     909,  100.0,   36.7,   17.0,    2.3,   21.2,   33.1,    6.4,    8.1,   21.4,    6.5,    5.5,    1.6,    0.0,   86.7,   88.3,   13.3,   11.7,    111,      7,     10,      7,     21,     21,     11,     21,     12,     13,     14,      5,.,     75,     70,    45.0,    24.4,    53.2,    44.4,    42.4,    24.3,    48.3,    42.4,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250617,2025-06-17,090741,CME ,00,090 ,  314567,  160002,  101868,   14793,   46962,   79789,   13759,   22881,   56217,   14168,   10880,    7861,    1409,  284853,  289864,   29714,   24703,    9987,    2588,   36595,   -4540,    6859,  -17689,    7265,    3169,    -111,   -9336,    1682,   -1607,    1366,    9053,   11942,     934,   -1955,  100.0,   50.9,   32.4,    4.7,   14.9,   25.4,    4.4,    7.3,   17.9,    4.5,    3.5,    2.5,    0.4,   90.6,   92.1,    9.4,    7.9,    121,      8,     10,     10,     22,     21,     12,     24,     16,     15,     13,      7,      4,     86,     76,    57.1,    34.3,    63.6,    48.9,    53.8,    33.6,    58.1,    47.1,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250610,2025-06-10,090741,CME ,00,090 ,  304580,  157413,   65274,   19333,   40103,   97479,    6494,   19712,   56328,   23504,    9198,    9468,      43,  275800,  277922,   28780,   26658,    7459,   -5280,   14888,   10295,    3740,   -6380,    -628,     236,   -6553,   -2720,   -1079,    -474,    -122,    4442,    8307,    3017,    -848,  100.0,   51.7,   21.4,    6.3,   13.2,   32.0,    2.1,    6.5,   18.5,    7.7,    3.0,    3.1,    0.0,   90.6,   91.2,    9.4,    8.8,    117,      8,     11,     12,     19,     23,     12,     19,     20,     16,     10,      7,.,     80,     79,    60.1,    30.1,    66.7,    45.9,    55.1,    29.6,    58.9,    45.3,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250603,2025-06-03,090741,CME ,00,090 ,  297121,  162693,   50385,    9038,   36363,  103859,    7122,   19476,   62881,   26225,   10277,    9942,     165,  271359,  269616,   25762,   27505,    9876,    1782,   -1298,    1963,     874,   -1607,    -177,    -390,     498,    7895,   -1015,    2627,      88,   11020,    9988,   -1144,    -112,  100.0,   54.8,   17.0,    3.0,   12.2,   35.0,    2.4,    6.6,   21.2,    8.8,    3.5,    3.3,    0.1,   91.3,   90.7,    8.7,    9.3,    125,      9,     10,      9,     19,     26,     11,     18,     25,     16,     12,      6,      4,     80,     85,    59.8,    28.8,    66.4,    45.4,    57.6,    28.7,    61.9,    45.0,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250527,2025-05-27,090741,CME ,00,090 ,  287245,  160912,   51684,    7075,   35489,  105466,    7298,   19866,   62383,   18330,   11292,    7315,      77,  260339,  259628,   26906,   27617,    2795,   -6284,    8854,    1430,    1379,  -11112,     579,    -102,    2324,    3499,    -744,    1782,       4,    -239,    7361,    3034,   -4566,  100.0,   56.0,   18.0,    2.5,   12.4,   36.7,    2.5,    6.9,   21.7,    6.4,    3.9,    2.5,    0.0,   90.6,   90.4,    9.4,    9.6,    116,      9,      8,      8,     17,     23,     11,     20,     21,     15,     13,      5,.,     78,     74,    61.9,    30.7,    67.7,    48.4,    59.4,    30.7,    63.6,    48.2,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250520,2025-05-20,090741,CME ,00,090 ,  284450,  167196,   42829,    5645,   34110,  116578,    6719,   19968,   60059,   14831,   12036,    5533,      73,  260578,  252266,   23872,   32184,    3741,    3625,  -16708,      25,   -1890,   12491,     802,     187,    4081,   -1322,    1336,    3987,     -18,    2744,    3338,     997,     403,  100.0,   58.8,   15.1,    2.0,   12.0,   41.0,    2.4,    7.0,   21.1,    5.2,    4.2,    1.9,    0.0,   91.6,   88.7,    8.4,   11.3,    120,      9,      6,      7,     16,     28,     12,     17,     24,     14,     14,      6,.,     74,     82,    64.3,    27.0,    70.7,    43.1,    61.9,    27.0,    66.3,    43.0,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250513,2025-05-13,090741,CME ,00,090 ,  280709,  163571,   59537,    5620,   36000,  104087,    5917,   19782,   55978,   16153,   10701,    1546,      91,  257834,  248929,   22875,   31780,   -6097,    8077,  -17606,   -2726,    -453,    9538,   -1923,    1257,   11123,   -5465,   -1508,     688,      71,   -2669,   -6299,   -3428,     202,  100.0,   58.3,   21.2,    2.0,   12.8,   37.1,    2.1,    7.0,   19.9,    5.8,    3.8,    0.6,    0.0,   91.9,   88.7,    8.1,   11.3,    120,      9,      7,      7,     19,     24,     11,     21,     23,     19,     12,      4,.,     78,     81,    63.9,    29.5,    70.4,    45.9,    61.6,    29.4,    66.3,    45.7,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250506,2025-05-06,090741,CME ,00,090 ,  286806,  155494,   77143,    8346,   36453,   94549,    7840,   18525,   44854,   21618,   12208,     858,      19,  260503,  255227,   26303,   31579,    7674,     648,    1214,     577,     850,    2268,     527,    2644,    1334,    2734,   -1805,     -57,      -5,    6172,    8594,    1502,    -920,  100.0,   54.2,   26.9,    2.9,   12.7,   33.0,    2.7,    6.5,   15.6,    7.5,    4.3,    0.3,    0.0,   90.8,   89.0,    9.2,   11.0,    118,      7,     10,      9,     18,     25,     10,     16,     24,     15,     14,.,.,     75,     78,    62.1,    31.7,    69.1,    47.4,    59.0,    31.6,    63.0,    47.3,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250429,2025-04-29,090741,CME ,00,090 ,  279132,  154846,   75929,    7768,   35603,   92281,    7312,   15881,   43520,   18884,   14013,     915,      24,  254331,  246633,   24801,   32499,    -945,   -1026,    7456,     272,    1528,   -1395,    -197,     769,   -7053,     -86,    -859,    -339,    -182,     220,   -1523,   -1165,     578,  100.0,   55.5,   27.2,    2.8,   12.8,   33.1,    2.6,    5.7,   15.6,    6.8,    5.0,    0.3,    0.0,   91.1,   88.4,    8.9,   11.6,    107,      8,      8,      8,     16,     21,      9,     17,     18,     12,     16,.,.,     74,     63,    62.7,    32.6,    69.0,    49.5,    60.5,    32.6,    64.4,    49.5,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250422,2025-04-22,090741,CME ,00,090 ,  280077,  155872,   68473,    7496,   34075,   93675,    7509,   15112,   50573,   18970,   14872,    1254,     206,  254112,  248157,   25965,   31920,    4214,   -3454,   26890,     -97,     889,  -14365,     727,    2071,  -12964,    2227,     837,     223,    -356,    2844,    2285,    1370,    1929,  100.0,   55.7,   24.4,    2.7,   12.2,   33.4,    2.7,    5.4,   18.1,    6.8,    5.3,    0.4,    0.1,   90.7,   88.6,    9.3,   11.4,    114,      7,      9,      8,     15,     24,      9,     17,     21,     13,     17,      4,.,     74,     73,    63.0,    28.6,    68.7,    45.1,    59.8,    28.5,    63.9,    44.9,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250415,2025-04-15,090741,CME ,00,090 ,  275863,  159327,   41583,    7593,   33186,  108040,    6782,   13041,   63538,   16742,   14035,    1031,     562,  251268,  245872,   24595,   29991,    -592,  -15871,   22983,    1911,     423,  -20590,    1226,    4027,   -8677,    4596,     504,    -365,     108,   -3075,    1193,    2483,   -1785,  100.0,   57.8,   15.1,    2.8,   12.0,   39.2,    2.5,    4.7,   23.0,    6.1,    5.1,    0.4,    0.2,   91.1,   89.1,    8.9,   10.9,    117,      8,      8,      9,     14,     27,      9,     14,     26,     14,     17,.,.,     72,     79,    64.9,    25.6,    70.0,    41.4,    62.0,    25.5,    65.9,    41.3,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250408,2025-04-08,090741,CME ,00,090 ,  276455,  175197,   18600,    5682,   32763,  128630,    5556,    9014,   72214,   12146,   13530,    1397,     454,  254343,  244679,   22112,   31776,  -22412,   -2702,    8651,   -1729,    1382,  -25081,      89,   -9969,    3397,     -73,   -5727,    -696,    -260,  -18990,  -15703,   -3422,   -6709,  100.0,   63.4,    6.7,    2.1,   11.9,   46.5,    2.0,    3.3,   26.1,    4.4,    4.9,    0.5,    0.2,   92.0,   88.5,    8.0,   11.5,    121,      8,      8,      8,     14,     30,     13,     17,     28,     10,     13,.,.,     69,     85,    68.2,    25.7,    74.3,    40.9,    67.2,    25.7,    71.9,    40.8,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250401,2025-04-01,090741,CME ,00,090 ,  298867,  177900,    9950,    7412,   31381,  153710,    5467,   18983,   68818,   12219,   19257,    2092,     714,  273333,  260382,   25534,   38485,    -505,   -2225,    4083,    1475,    -634,   -8153,    -261,     899,     799,     420,     217,    -970,     222,     112,   -2386,    -617,    1881,  100.0,   59.5,    3.3,    2.5,   10.5,   51.4,    1.8,    6.4,   23.0,    4.1,    6.4,    0.7,    0.2,   91.5,   87.1,    8.5,   12.9,    132,      8,      9,      9,     15,     34,     16,     18,     27,     11,     16,      5,      5,     77,     96,    62.1,    26.4,    70.1,    42.0,    61.4,    26.4,    67.7,    41.9,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250325,2025-03-25,090741,CME ,00,090 ,  299372,  180125,    5867,    5937,   32015,  161863,    5728,   18084,   68019,   11799,   19040,    3063,     492,  273220,  262769,   26152,   36603,  -67527,  -32086,  -14215,  -35692,    1083,   -8525,    -505,    6506,   -5922,   -2413,   -4379,    -272,    -168,  -67655,  -67713,     128,     186,  100.0,   60.2,    2.0,    2.0,   10.7,   54.1,    1.9,    6.0,   22.7,    3.9,    6.4,    1.0,    0.2,   91.3,   87.8,    8.7,   12.2,    131,     10,      5,      9,     13,     35,     15,     14,     32,     13,     16,      6,      4,     77,     95,    62.3,    27.7,    69.6,    43.9,    62.2,    27.6,    68.2,    43.8,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
